3.2.3.3.1	NPAC SMS shall allow NPAC personnel to create a new LNP NPA NXX for a Service Provider.
8.7.2.1.1	NPAC SMS shall provide a Data Integrity Sample Size tunable parameter which is defined as the number of active Subscription Versions in the sample to monitor NPAC SMS data integrity.
8.7.2.2.1	NPAC SMS shall allow the NPAC SMS Administrator to modify the Data Integrity Sample Size tunable parameter.
8.7.2.3.1	NPAC SMS shall default the Data Integrity Sample Size tunable parameter to 1000.
8.7.3.1.1	NPAC SMS shall provide a Data Integrity Frequency tunable parameter which is defined as the frequency in days that the data integrity sampling is performed.
8.7.3.2.1	NPAC SMS shall allow the NPAC SMS Administrator to modify the Data Integrity Frequency tunable parameter.
8.7.3.3.1	NPAC SMS shall default the Data Integrity Frequency tunable parameter to seven days.  The allowable range is between one and ninety (1-90) days.
8.8.7.1	NPAC SMS shall, for audits of Subscription Versions with LNP Type of POOL, send notifications of discrepancies found and audit results to the requesting SOA.  (Previously A-10)
8.8.8.1	NPAC SMS shall, for audits of Subscription Versions with LNP Type of POOL, only send back notifications to the requesting SOA, of the audited TNs, even if other TNs were modified.  (Previously A-15)
8.8.9.1	NPAC SMS shall send status change notifications, for Blocks, to the Block Holder SOA when the SOA Origination is TRUE, only when an audit correction causes the status and/or Failed SP List to be updated to different values.  (Previously A-35)
8.8.10.1	NPAC SMS shall send an attribute change notifications, for Blocks, to the Block Holder SOA when the SOA Origination is TRUE, only when an audit correction causes the status and/or Failed SP List to be updated to different values.  (Previously A-36)
8.8.11.1	NPAC SMS shall send a query for Subscription Version(s), resulting from the TN Range or TN Range with Activation Timestamp audit request for Subscription Version(s) with LNP Type of POOL, and a query for the corresponding Block of the Subscription Version(s) with LNP Type of POOL, to an EDR Local SMS that is accepting Block and Subscription Version data download for the given NPA-NXX via the NPAC SMS to Local SMS Interface.  (Previously A-40)
8.8.12.1	NPAC SMS shall consider a query response of No Data, as a valid response from an EDR Local SMS, for a Subscription Version with LNP Type of POOL, and shall not include this as a discrepancy for the Subscription Version.  (Previously A-50)
8.8.13.1	NPAC SMS shall consider a query response, which contains a Subscription Version, as a discrepancy from an EDR Local SMS, for a Subscription Version with LNP Type of POOL, by sending a Subscription Version Delete message for the Subscription Version.  (Previously A-60)
8.8.14.1	NPAC SMS shall conduct a comparison of the Block sent back in the audit response by the EDR Local SMS, to the Block stored in the NPAC SMS.  (Previously A-80)
8.8.15.1	NPAC SMS shall consider a query response of No Data related to a Block, for a Block that exists in the NPAC SMS, other than a status of Old, as a discrepant response from an EDR Local SMS, and shall send a Block Create/Activate message.  (Previously A-90)
8.8.16.1	NPAC SMS shall consider a query response with mis-matched data for a Block, as a discrepant response from an EDR Local SMS, and shall send a Block Modify message.  (Previously A-100)
8.8.17.1	NPAC SMS shall consider a query response of an existing Block, for a Block that has been de-pooled, as a discrepant response from an EDR Local SMS, when the latest version of the Block on the NPAC SMS contains a status of old, and shall send a Block Delete message.  (Previously A-110)
8.8.18.1	NPAC SMS shall skip the audit of a Block with a status of Sending, such that no discrepancies will be found for the Block.  (Previously A-120)
9.2.1.1	NPAC SMS shall allow NPAC personnel using the NPAC Administrative Interface to select the type of report required.
9.2.2.1	NPAC SMS shall allow NPAC personnel using the NPAC Administrative Interface to select the predefined report output destination. Destinations are printer, file system, email, display or FAX.
9.2.3.1	NPAC SMS shall allow NPAC personnel using the NPAC Administrative Interface to re-print reports from previously saved report outputs.
9.2.4.1	NPAC SMS shall allow NPAC personnel to create customized reports through an ad hoc facility.
9.2.5.1	NPAC SMS shall allow NPAC personnel to define scope and filtering for items to be included in the customized reports.
9.2.6.1	NPAC SMS shall allow Service Provider personnel to receive reports on information related to their activities.
9.2.7.1.1	NPAC SMS shall support the following service and network data reports for NPAC personnel using the NPAC Administrative Interface and Service Provider personnel using the NPAC SOA Low-tech Interface: NPAC Service Tunable Parameters Report, List of Service Provider’s LRNs, Open NPA-NXXs List
9.2.7.2.1	NPAC SMS shall support the following Service Provider reports for NPAC personnel using the NPAC Administrative Interface and Service Provider personnel using the NPAC SOA Low-tech Interface: Service Provider Profile (Service Provider’s own data only), Service Provider’s Subscription List by Status (Service Provider’s own data only)
9.2.7.3.1	NPAC SMS shall support the following subscription data reports for NPAC personnel using the NPAC Administrative Interface and Service Provider personnel using the NPAC SOA Low-tech Interface: Subscriptions Listed by Status, Subscriptions Listed by Service Provider by Status
9.2.7.4.1	NPAC SMS shall support the following system reports for NPAC system administration personnel using the NPAC Administrative Interface: Overall CPU System Utilization, Storage Utilization, NPAC SMS Application Performance (SOA/LSMS Downloads per Second), NPAC SMS Application Performance (SOA/LSMS Subscription Activation Time), NPAC SMS-SOA Link Utilization, NPAC SMS-LSMS Link Utilization, NPAC SMS Application Performance (SOA/LSMS Response Time), NPAC SMS Application Performance (Interface Transaction Rate),  NPAC SMS Application Performance (Provider SMS Database Sampling)
9.2.7.5.1	NPAC SMS shall support the following security reports for NPAC security administration personnel using the NPAC Administrative Interface: Access Privileges Matrix, Authorized Users List, Security Log, Invalid Access Attempts, Encryption Keys List
9.2.7.6.1	NPAC SMS shall support the following log file reports for NPAC personnel using the NPAC Administrative Interface: History Report, Error Report, Service Provider Notification Report, Subscription Transaction Report, Service Provider Administration Report, Subscription Administration Report
9.2.7.7.1	NPAC SMS shall support an Audit Results Report.
9.2.7.8.1	NPAC SMS shall support the generation of regularly scheduled standard or ad hoc reports, to be provided at the request of a Service Provider.
9.2.7.9.1	NPAC SMS shall generate an NPAC SMS data integrity report.
9.3.9.1	NPAC SMS shall verify whether the user requesting the report has the proper viewing privileges for the selected data.
9.3.10.1	NPAC SMS shall support on line file transfer capabilities to transfer report files.
9.3.11.1	NPAC SMS shall maintain a History Log to keep track of transactions processed.
9.3.12.1.1	NPAC SMS shall maintain an Error Log to keep track of transaction errors.
9.3.12.2.1	NPAC SMS shall maintain an Error Log to keep track of transmission errors.
9.3.1.7.1	NPAC SMS shall support reports that list pooling information for NPAC personnel using the NPAC Administrative Interface and Service Provider personnel using the NPAC SOA Low-tech Interface.  (Previously RR9-7 of Appendix F: Midwest Region Number Pooling)
9.3.1.2.1	NPAC SMS shall support pooled number reports that allow queries on any combination of SPID, and TN Range, where the NPAC SMS returns all TNs that meet the selection criteria.  (Previously R-10)
9.3.1.8.1	NPAC SMS shall support a report that list the number pool range, the block holder, and the block holder default routing information for NPAC personnel using the NPAC Administrative Interface and Service Provider personnel using the NPAC SOA Low-tech Interface.  (Previously RR9-8 of Appendix F: Midwest Region Number Pooling)
9.3.1.3.1	NPAC SMS shall support a report that lists the number pool range, the block holder, and the block holder default routing information, that contains the Block Holder ID, Service Provider Name, and the following data elements: Block ID (primary sort), NPA-NXX-X (secondary sort), Effective Date, LRN, DPC (CLASS, CNAM, ISVM, LIDB and if supported WSMSC), SSN (CLASS, CNAM, ISVM, LIDB and if supported WSMSC)
9.3.1.4.1	NPAC SMS shall page break the report listed in RR9-3, for every change in new Block Holder ID.
9.3.1.9.1	NPAC SMS shall support a report that list all Active-Like numbers in a 1K block (NPA-NXX-X) for a block holder, for NPAC personnel using the NPAC Administrative Interface and Service Provider personnel using the NPAC SOA Low-tech Interface.
9.3.1.10.1	NPAC SMS shall support a report that lists all Active-Like numbers in a 1K Block for a block holder, where the status is active/partial failure/old with a Failed SP List/disconnect pending, that contains the following data elements: TN (primary sort), LNP Type, Activation Start Time Stamp, SP Name, Status
